COD_REG;COD_ISTAT;PRO_COM;SEZ2011;SEZ;COD_LOC;TIPO_LOC
15.0;15064008.0;64008.0;640080000076;76.0;10001.0;1.0
15.0;15063088.0;63088.0;630880000003;3.0;10001.0;1.0
15.0;15064083.0;64083.0;640830000006;6.0;20006.0;2.0
15.0;15064008.0;64008.0;640080000169;169.0;10001.0;1.0
15.0;15064008.0;64008.0;640080000084;84.0;10001.0;1.0
15.0;15064073.0;64073.0;640730000001;1.0;10001.0;1.0
15.0;15064034.0;64034.0;640340000023;23.0;10002.0;1.0
15.0;15064073.0;64073.0;640730000019;19.0;26714.0;2.0
15.0;15064073.0;64073.0;640730000008;8.0;26610.0;2.0
15.0;15064043.0;64043.0;640430000002;2.0;10001.0;1.0
15.0;15064055.0;64055.0;640550000005;5.0;10002.0;1.0
15.0;15064008.0;64008.0;640080000171;171.0;10001.0;1.0
15.0;15064106.0;64106.0;641060000001;1.0;10001.0;1.0
15.0;15064083.0;64083.0;640830000024;24.0;10002.0;1.0
15.0;15064002.0;64002.0;640020000009;9.0;10001.0;1.0
15.0;15064105.0;64105.0;641050000003;3.0;20002.0;2.0
15.0;15064064.0;64064.0;640640000002;2.0;10001.0;1.0
15.0;15064008.0;64008.0;640080000240;240.0;10001.0;1.0
15.0;15064008.0;64008.0;640080000239;239.0;10001.0;1.0
15.0;15064001.0;64001.0;640010000016;16.0;20001.0;2.0
15.0;15063088.0;63088.0;630880000005;5.0;10001.0;1.0
15.0;15064077.0;64077.0;640770000005;5.0;10001.0;1.0
15.0;15064064.0;64064.0;640640000007;7.0;10001.0;1.0
15.0;15064029.0;64029.0;640290000023;23.0;40001.0;4.0
15.0;15064073.0;64073.0;640730000034;34.0;10001.0;1.0
15.0;15064008.0;64008.0;640080000131;131.0;10001.0;1.0
15.0;15063018.0;63018.0;630180000016;16.0;10001.0;1.0
15.0;15064062.0;64062.0;640620000016;16.0;10001.0;1.0
15.0;15064076.0;64076.0;640760000006;6.0;40002.0;4.0
15.0;15064034.0;64034.0;640340000005;5.0;10003.0;1.0
15.0;15064007.0;64007.0;640070000004;4.0;10001.0;1.0
15.0;15064008.0;64008.0;640080000206;206.0;10001.0;1.0
15.0;15064008.0;64008.0;640080000094;94.0;10001.0;1.0
15.0;15064025.0;64025.0;640250000024;24.0;10001.0;1.0
15.0;15064010.0;64010.0;640100000017;17.0;40003.0;4.0
15.0;15064073.0;64073.0;640730000026;26.0;20011.0;2.0
15.0;15064008.0;64008.0;640080000064;64.0;10001.0;1.0
15.0;15064103.0;64103.0;641030000012;12.0;30001.0;3.0
15.0;15064049.0;64049.0;640490000006;6.0;10001.0;1.0
15.0;15064105.0;64105.0;641050000008;8.0;40001.0;4.0
15.0;15064008.0;64008.0;640080000224;224.0;20018.0;2.0
15.0;15063028.0;63028.0;630280000003;3.0;10001.0;1.0
15.0;15063050.0;63050.0;630500000246;246.0;10003.0;1.0
15.0;15063050.0;63050.0;630500000224;224.0;10003.0;1.0
15.0;15063050.0;63050.0;630500000221;221.0;10003.0;1.0
15.0;15063050.0;63050.0;630500000204;204.0;10003.0;1.0
15.0;15063050.0;63050.0;630500000024;24.0;10003.0;1.0
15.0;15063050.0;63050.0;630500000001;1.0;10003.0;1.0
15.0;15063050.0;63050.0;630500000063;63.0;10003.0;1.0
15.0;15063050.0;63050.0;630500000010;10.0;10003.0;1.0
15.0;15063050.0;63050.0;630500000048;48.0;10003.0;1.0
