zona_climatica;periodo;Superficie Utile Riscaldata;Volume Lordo Riscaldato;EPgl_nren;EPgl_ren;CO2
B;kE10E11;100-200;<50;0.0;0.0;0.0
B;kE10E11;100-200;50-100;117.94;23.37;25.22
B;kE10E11;100-200;100-200;113.3;10.57;23.79
B;kE10E11;100-200;200-500;123.95;13.52;25.54
B;kE10E11;100-200;500-1000;130.63;15.59;26.51
B;kE10E11;100-200;1000-5000;199.91;24.16;41.52
B;kE10E11;100-200;5000-10000;0.0;0.0;0.0
B;kE10E11;100-200;>10000;0.0;0.0;0.0
B;kE10E11;200-500;<50;0.0;0.0;0.0
B;kE10E11;200-500;50-100;0.0;0.0;0.0
B;kE10E11;200-500;100-200;82.26;9.83;18.3
B;kE10E11;200-500;200-500;110.1;5.19;22.47
B;kE10E11;200-500;500-1000;115.44;14.82;23.73
B;kE10E11;200-500;1000-5000;122.42;19.13;24.35
B;kE10E11;200-500;5000-10000;0.0;0.0;0.0
B;kE10E11;200-500;>10000;0.0;0.0;0.0
B;kE10E11;500-1000;<50;0.0;0.0;0.0
B;kE10E11;500-1000;50-100;0.0;0.0;0.0
B;kE10E11;500-1000;100-200;0.0;0.0;0.0
B;kE10E11;500-1000;200-500;25.23;9.61;5.57
B;kE10E11;500-1000;500-1000;0.0;0.0;0.0
B;kE10E11;500-1000;1000-5000;85.59;12.67;18.23
B;kE10E11;500-1000;5000-10000;0.0;0.0;0.0
B;kE10E11;500-1000;>10000;0.0;0.0;0.0
B;kE10E11;1000-5000;<50;0.0;0.0;0.0
B;kE10E11;1000-5000;50-100;0.0;0.0;0.0
B;kE10E11;1000-5000;100-200;0.0;0.0;0.0
B;kE10E11;1000-5000;200-500;0.0;0.0;0.0
B;kE10E11;1000-5000;500-1000;0.0;0.0;0.0
B;kE10E11;1000-5000;1000-5000;0.0;0.0;0.0
B;kE10E11;1000-5000;5000-10000;0.0;0.0;0.0
B;kE10E11;1000-5000;>10000;0.0;0.0;0.0
B;kE10E11;>5000;<50;0.0;0.0;0.0
B;kE10E11;>5000;50-100;0.0;0.0;0.0
B;kE10E11;>5000;100-200;0.0;0.0;0.0
B;kE10E11;>5000;200-500;0.0;0.0;0.0
B;kE10E11;>5000;500-1000;0.0;0.0;0.0
B;kE10E11;>5000;1000-5000;0.0;0.0;0.0
B;kE10E11;>5000;5000-10000;0.0;0.0;0.0
B;kE10E11;>5000;>10000;0.0;0.0;0.0
B;kE12E13;<50;<50;0.0;0.0;0.0
B;kE12E13;<50;50-100;203.23;22.16;42.26
B;kE12E13;<50;100-200;174.52;19.3;36.15
B;kE12E13;<50;200-500;205.43;25.35;42.21
B;kE12E13;<50;500-1000;376.68;13.5;77.73
B;kE12E13;<50;1000-5000;403.05;97.15;95.04
B;kE12E13;<50;5000-10000;0.0;0.0;0.0
B;kE12E13;<50;>10000;0.0;0.0;0.0
B;kE12E13;50-100;<50;0.0;0.0;0.0
B;kE12E13;50-100;50-100;142.46;15.99;29.64
B;kE12E13;50-100;100-200;147.23;16.63;30.92
B;kE12E13;50-100;200-500;146.53;17.51;30.04
B;kE12E13;50-100;500-1000;209.24;24.05;43.41
B;kE12E13;50-100;1000-5000;356.59;16.89;73.64
B;kE12E13;50-100;5000-10000;0.0;0.0;0.0
B;kE12E13;50-100;>10000;0.0;0.0;0.0
B;kE12E13;100-200;<50;0.0;0.0;0.0
B;kE12E13;100-200;50-100;143.09;15.2;30.39
B;kE12E13;100-200;100-200;113.22;12.61;23.62
B;kE12E13;100-200;200-500;122.58;14.08;25.17
B;kE12E13;100-200;500-1000;130.52;17.77;26.53
B;kE12E13;100-200;1000-5000;203.35;19.49;42.23
B;kE12E13;100-200;5000-10000;0.0;0.0;0.0
B;kE12E13;100-200;>10000;0.0;0.0;0.0
B;kE12E13;200-500;<50;0.0;0.0;0.0
B;kE12E13;200-500;50-100;0.0;0.0;0.0
B;kE12E13;200-500;100-200;83.92;7.98;17.97
B;kE12E13;200-500;200-500;115.72;8.54;23.02
